dim	coefficient
0	0.12442493
1	-0.021651149
2	-0.10890734
3	0.28134555
4	0.21866281
5	-0.0148798525
6	-0.057493478
7	-0.040571854
8	0.10913932
9	0.08279682
10	-0.044696532
11	0.05710858
12	-0.05493416
13	0.16528662
14	-0.08607224
15	0.11449721
16	0.24626641
17	0.17092203
18	-0.008478895
19	-0.098636925
20	0.12234442
21	-0.103156745
22	-0.17096199
23	0.28782606
24	-0.04982762
25	0.27737588
26	0.17659454
27	-0.19106762
28	0.21078281
29	-0.19076324
30	0.3222187
31	-0.009137489
32	-0.017776586
33	-0.088578865
34	-0.18314661
35	-0.14209963
36	-0.100424126
37	-0.09126664
38	-0.2168728
39	0.22302842
40	0.10122877
41	-0.06424873
42	-0.011783116
43	-0.04017569
44	0.016094346
45	0.176241
46	-0.22089198
47	0.15705884
48	0.041596726
49	0.065070935
50	0.043162234
51	-0.10904019
52	0.17206046
53	0.06315972
54	-0.09732361
55	-0.025678232
56	-0.21543477
57	0.17394763
58	-0.056935042
59	-0.28997073
60	-0.22936815
61	0.32189745
62	0.04413362
63	0.1004495
64	-0.1809611
65	-0.074039325
66	-0.045583956
67	-0.274979
68	-0.034566898
69	-0.008504525
70	0.14695615
71	-0.093961015
72	0.0013810359
73	0.2460528
74	-0.07429922
75	0.014693648
76	-0.21807808
77	-0.23758195
78	0.121597454
79	0.018135596
80	-0.21171707
81	0.01724919
82	0.08209475
83	0.06186488
84	-0.15752985
85	-0.07148562
86	-0.27094
87	-0.14155532
88	-0.1057079
89	-0.19822001
90	-0.14760396
91	-0.014372192
92	-0.18851936
93	-0.34757465
94	0.00700528
95	-0.011784084
96	0.055242922
97	-0.0540839
98	-0.04257296
99	0.030640725
100	0.08947414
101	-0.3018974
102	0.30526263
103	-0.11656129
104	0.056885537
105	0.11847383
106	-0.007619925
107	-0.1400126
108	-0.02662923
109	-0.014880834
110	-0.37907726
111	-0.23627007
112	-0.12136386
113	-0.23085137
114	-0.0036157537
115	0.03580652
116	-0.029582474
117	-0.037981577
118	0.09621932
119	0.06903847
120	0.10332059
121	0.05859261
122	-0.11448182
123	-0.12408651
124	0.17067929
125	-0.23181525
126	0.16409756
127	-5.364418e-07
128	0.039990738
129	0.20361543
130	-0.20384166
131	-0.24750094
132	-0.14669642
133	0.12055853
134	-0.23505807
135	0.1732519
136	0.1047197
137	-0.083780825
138	0.015809044
139	-0.116736226
140	-0.16294424
141	0.2699352
142	-0.19414356
143	0.037946433
144	-0.19523448
145	-0.207492
146	-0.005110964
147	-0.0837695
148	-0.230519
149	-0.04427489
150	-0.068098165
151	-0.25554675
152	0.05610101
153	-0.019972662
154	-0.07451062
155	0.09008475
156	0.016620308
157	0.19447708
158	-0.17371467
159	-0.26763684
160	-0.03426998
161	-0.06919773
162	0.06540417
163	-0.13912246
164	-0.12986448
165	0.055031292
166	0.08600388
167	0.08933075
168	-0.15060098
169	-0.094051845
170	-0.071256444
171	0.053935133
172	0.112526424
173	0.1384095
174	-0.17942168
175	-0.0276009
176	-0.19180559
177	0.054547694
178	-0.28636852
179	0.03594234
180	-0.04752289
181	0.12828374
182	0.034458734
183	-0.040318668
184	-0.13360347
185	-0.2003461
186	0.17847723
187	0.049200557
188	-0.07380706
189	-0.17741175
190	0.07958464
191	-0.11804509
192	-0.15997392
193	-0.047333866
194	-0.015470341
195	-0.14450806
196	-0.116591066
197	0.22722249
198	-0.11130212
199	0.01201833
200	0.055554554
201	-0.074878216
202	0.0648119
203	0.057440467
204	0.020433443
205	-0.04258079
206	-0.09701822
207	-0.12941428
208	0.24684983
209	0.12765214
210	-0.25036144
